matchid,pred_points_player,actual_points_player,pred_selection_cnt,accuracy,rewards_earned
734043,265.0,699.0,11.0,0.6208869814020028,-50.0
734045,476.5,705.5,11.0,0.32459248759744863,-50.0
734047,416.0,898.0,11.0,0.5367483296213809,-50.0
734049,252.0,957.5,11.0,0.7368146214099217,-50.0
829705,542.0,731.0,11.0,0.2585499316005472,-50.0
829707,532.0,688.5,11.0,0.22730573710965868,0.0
829709,493.0,776.0,11.0,0.3646907216494845,-50.0
829711,378.0,779.0,11.0,0.5147625160462131,-50.0
829713,654.0,737.0,11.0,0.11261872455902307,75.0
829715,278.0,781.0,11.0,0.6440460947503202,-50.0
829717,594.0,825.5,11.0,0.28043609933373714,-50.0
829719,525.0,736.5,11.0,0.28716904276985744,-50.0
829721,467.0,651.0,11.0,0.282642089093702,-50.0
829723,364.0,808.0,11.0,0.5495049504950495,-50.0
829725,450.5,731.5,11.0,0.38414217361585784,-50.0
829727,457.0,589.0,11.0,0.22410865874363328,0.0
829729,445.0,850.5,11.0,0.47677836566725457,-50.0
829731,607.0,795.0,11.0,0.23647798742138365,0.0
829733,390.0,848.0,11.0,0.5400943396226415,-50.0
829735,577.0,673.0,11.0,0.1426448736998514,75.0
829737,306.0,872.5,11.0,0.6492836676217765,-50.0
829739,443.0,607.0,11.0,0.2701812191103789,-50.0
829741,559.5,707.5,11.0,0.20918727915194346,0.0
829743,568.5,650.5,11.0,0.12605687932359724,75.0
829745,660.0,791.0,11.0,0.16561314791403287,50.0
829747,432.5,790.5,11.0,0.45287792536369387,-50.0
829749,561.5,628.5,11.0,0.10660302307080351,75.0
829751,501.0,792.0,11.0,0.36742424242424243,-50.0
829753,385.5,715.5,11.0,0.4612159329140461,-50.0
829757,508.5,601.5,11.0,0.1546134663341646,50.0
829759,389.5,677.5,11.0,0.42509225092250924,-50.0
829761,376.5,673.5,11.0,0.44097995545657015,-50.0
829763,316.0,457.5,11.0,0.3092896174863388,-50.0
829765,477.0,612.5,11.0,0.22122448979591836,0.0
829767,129.0,664.0,11.0,0.8057228915662651,-50.0
829769,451.0,659.5,11.0,0.3161485974222896,-50.0
829771,346.0,467.5,11.0,0.25989304812834224,-50.0
829773,657.5,736.5,11.0,0.10726408689748812,75.0
829775,371.0,593.5,11.0,0.37489469250210616,-50.0
829777,611.0,783.0,11.0,0.21966794380587484,0.0
829779,568.5,739.5,11.0,0.23123732251521298,0.0
829781,608.0,674.0,11.0,0.09792284866468842,350.0
829783,438.0,656.0,11.0,0.3323170731707317,-50.0
829785,885.0,928.0,11.0,0.04633620689655173,4950.0
829787,638.0,779.0,11.0,0.1810012836970475,50.0
829789,339.0,513.5,11.0,0.33982473222979553,-50.0
829791,393.5,769.5,11.0,0.48862897985705,-50.0
