matchid,playername,playing_role,playing_team,playercost,total_points,pred_points_catboost,pred_points,pred_selection_rank,pred_selection_true,actual_selection_rank,actual_selection_true
598051,CH Morris,Bowler,Chennai Super Kings,10,21.0,25.516226311105818,25.516226311105818,,,10.0,1.0
598051,DJ Bravo,AllRounder,Chennai Super Kings,10,25.0,40.77951845054613,40.77951845054613,3.0,1.0,9.0,1.0
598051,DJG Sammy,AllRounder,Sunrisers Hyderabad,10,3.0,34.73960395428893,34.73960395428893,5.0,1.0,,
598051,DW Steyn,Bowler,Sunrisers Hyderabad,10,29.0,27.293296402836344,27.293296402836344,,,7.0,1.0
598051,GH Vihari,Batsmen,Sunrisers Hyderabad,10,3.0,21.397862115263127,21.397862115263127,,,,
598051,I Sharma,Bowler,Sunrisers Hyderabad,10,-6.0,28.08940420514521,28.08940420514521,10.0,1.0,,
598051,JO Holder,Bowler,Chennai Super Kings,10,0.0,26.77200428297399,26.77200428297399,,,,
598051,KC Sangakkara,Batsmen,Sunrisers Hyderabad,10,4.0,27.058695413318247,27.058695413318247,,,,
598051,KV Sharma,Bowler,Sunrisers Hyderabad,10,45.0,24.744883397589735,24.744883397589735,,,5.0,1.0
598051,M Vijay,Batsmen,Chennai Super Kings,10,37.0,31.180768517485124,31.180768517485124,8.0,1.0,6.0,1.0
598051,MEK Hussey,Batsmen,Chennai Super Kings,10,91.0,47.16558372521351,94.33116745042702,0.0,1.0,2.0,1.0
598051,MM Sharma,Bowler,Chennai Super Kings,10,50.0,31.103716540222806,31.103716540222806,9.0,1.0,4.0,1.0
598051,MS Dhoni,Batsmen,Chennai Super Kings,10,5.0,28.39720320386411,28.39720320386411,,,,
598051,NLTC Perera,AllRounder,Sunrisers Hyderabad,10,148.5,45.5377959519699,68.30669392795485,1.0,1.0,1.0,1.0
598051,PA Patel,Batsmen,Sunrisers Hyderabad,10,54.0,30.50332378530551,30.50332378530551,,,3.0,1.0
598051,R Ashwin,Bowler,Chennai Super Kings,10,27.0,27.749894134551244,27.749894134551244,,,8.0,1.0
598051,RA Jadeja,AllRounder,Chennai Super Kings,10,17.0,31.500636851646174,31.500636851646174,6.0,1.0,,
598051,S Dhawan,Batsmen,Sunrisers Hyderabad,10,3.0,41.32424393845564,41.32424393845564,2.0,1.0,,
598051,SK Raina,Batsmen,Chennai Super Kings,10,354.0,39.88670348364358,39.88670348364358,4.0,1.0,0.0,1.0
598052,A Chandila,Bowler,Rajasthan Royals,10,27.0,26.78403408469862,26.78403408469862,,,7.0,1.0
598052,AC Gilchrist,Batsmen,Kings XI Punjab,10,48.0,37.736324146676715,56.604486220015076,1.0,1.0,5.0,1.0
598052,AM Rahane,Batsmen,Rajasthan Royals,10,123.0,36.32204093844084,36.32204093844084,3.0,1.0,1.0,1.0
598052,Bipul Sharma,Bowler,Kings XI Punjab,10,27.0,22.321112526039887,22.321112526039887,,,6.0,1.0
598052,DA Miller,Batsmen,Kings XI Punjab,10,9.0,31.387403945835572,31.387403945835572,7.0,1.0,10.0,1.0
598052,DJ Hussey,Batsmen,Kings XI Punjab,10,1.0,28.755686863751016,28.755686863751016,9.0,1.0,,
598052,JP Faulkner,Bowler,Rajasthan Royals,10,25.0,34.24244282746064,34.24244282746064,5.0,1.0,9.0,1.0
598052,KK Cooper,Bowler,Rajasthan Royals,10,79.0,29.013293851069587,29.013293851069587,8.0,1.0,2.0,1.0
598052,MS Gony,Bowler,Kings XI Punjab,10,-2.0,25.981801743535005,25.981801743535005,,,,
598052,Mandeep Singh,Batsmen,Kings XI Punjab,10,-2.0,31.986608402932163,31.986608402932163,6.0,1.0,,
598052,P Awana,Bowler,Kings XI Punjab,10,0.0,27.959993137635717,27.959993137635717,10.0,1.0,,
598052,P Kumar,Bowler,Kings XI Punjab,10,2.0,26.343953124912662,26.343953124912662,,,,
598052,PP Chawla,Bowler,Kings XI Punjab,10,26.0,25.622769436761228,25.622769436761228,,,8.0,1.0
598052,R Dravid,Batsmen,Rajasthan Royals,10,5.0,37.21288551576332,37.21288551576332,2.0,1.0,,
598052,R Sathish,Batsmen,Kings XI Punjab,10,0.0,17.960007081891824,17.960007081891824,,,,
598052,S Sreesanth,Bowler,Rajasthan Royals,10,-2.0,26.084903541147586,26.084903541147586,,,,
